vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
1951-1952,1068,"Мирмиков, Л. М.",МирмиковЛМ,По заветам И. В. Мичурина,Фотоальбом с пояснительным текстом,NA,NA,Кострома,Акад. пед. наук СССР,1951,Костромской областной отдел народного образования. Областная станция юных техников и натуралистов,NA,1500,NA,NA
1951-1952,1109,NOAUTHOR,NA,Модель грузо-пассажирского судна,NA,NA,NA,М.,Изд-во ДОСААФ,1952,Библиотека юного конструктора,2,NA,3,NA
1951-1952,1110,NOAUTHOR,NA,Модель тракторного плуга,Из опыта работы кружка по изучению с.-х. машин Станции юных техников Балашихинского района,NA,NA,М.,Акад. пед. наук СССР,1952,Московская областная станция юных техников,NA,2000,NA,NA
1951-1952,1111,NOAUTHOR,NA,Модель тракторной дисковой бороны,Из опыта работы Станции юных техников Балашихинского района,NA,NA,М.,Акад. пед. наук СССР,1952,Московская областная станция юных техников,NA,2000,NA,NA
1951-1952,1148,"Наливкин, Д. [акад.]; Петров, Л. [проф.]",ПетровЛ,Наша нефть,NA,Иллюстр. Л. Коростышевского. Карты составлены и выполнены П. Померанцевым. Изд. исправленное и дополненное.,NA,М.; Л.,Детгиз,1952,В помощь школьнику,99,150000,2.5,NA
1951-1952,1152,NOAUTHOR,NA,На чем поедем,Книжка-ширма,/: Стихи Е. Каргановой и Л. Неменовой. Иллюстр. Ф. Лем-куль и С. Гернштейна.,NA,М.,Росгизместпром,1952,NA,10,100000,2.8,NA
1951-1952,1153,NOAUTHOR,NA,Наша армия родная,Сборник для детей,Иллюстр. А. Щербакова.,NA,М.; Л.,Детгиз,1951,NA,32,100000,1.5,Л. Кассиль. Наша армия родная; М. Светлов. Советский солдат; С. Маршак. Февраль; 3. Александрова. Песня о Чапаеве; Е. Шварц и И. Фрез. Как дедушка и бабушка были красноармейцами; Л. Кассиль. Твои защитники; Г. Рублев. Солдат мира; Е. Долматовский. Герой Советского Союза; Е. Трутнева. Победа; С. Михалков. После победы; М. Исаковский. У самой границы; С. Маршак. Урок родного языка
1951-1952,1154,NOAUTHOR,NA,Наша армия родная,Сборник для детей,Иллюстр. А. Щербакова.,NA,М.; Л.,Детгиз,1951,NA,32,100000,1.5,NA
1951-1952,1158,"Некрасов, В.",НекрасовВ,Наш зеленый друг,NA,NA,NA,М.,Институт санитарного просвещения,1950,Библиотечка школьника,56,20000,1.4,NA
1951-1952,1202,NOAUTHOR,NA,Объяснение игр,Приложение к Детскому календарю на 1952 год. Автор-составитель Е. Гроздова,NA,NA,М.,Росгизместпром,1951,NA,NA,50000,NA,"С. Новым годом, дорогие ребята! (Обращение.) — Как пользоваться Детским календарем и делать игрушки; Дед Мороз на парашюте. (Игрушка-самоделка на елку.) — Новогодний праздник. (Настольная игра.) — Новогодний праздник. (Инсценировка для детских праздников.) Стихи 3. Н. Александровой. (Новый год; Зима; Метель; Снежинка; Звездочка; Снежинка-пушинка; Сирень; Весна; Земляника; Астра; Фиалка; Осень; Лето; Крыжовник; Рябина; Малина; Мак; Брусника; Шиповник; Георгины; Вишня; Ландыш; Черемуха; Сосновая ветка; Щавель; Капуста; Травка; Зеленый лук; Еловая ветка; Слива; Виноград; Репа; Подснежник; Орех; Василек; Жолудь; Груша; Бабочка; Ромашка; Лисичка; Яблоко; Кленовый листок; Синица; Березовый листок; Бабочка-капустница; Ласточка; Иней; Снегирь. -— Жаворонок; Мухомор; Дед Мороз; Песенка зайчат; Белый гриб.) — Л. И. Михайлова. Танцы для новогоднего праздника; Пояснения к инсценировке «Новогодний праздник»; Описание карнавальных костюмов; Рамки для портретов; Моментальная фотография. (Фокус.) — Книжка-вертушка; Панорама на темы произведений Н. В. Гоголя; Петушок — грелка на чайник; Весы; Три головоломки; Плетеная сумочка. •— Кукла Оля; Цветы нашей Родины. (Настольная игра.) — Разведка морских глубин. Автор Е. И. Гроздова. Консультант проф. В. Г. Богоров; Барометр. (Игрушка-самоделка.) — Полочка для зубного порошка; Мозаика; Вертушки. См. № 510"
1951-1952,1203,NOAUTHOR,NA,Объяснение игр,Приложение к Детскому календарю на 1953 год,NA,NA,М.,Росгизместпром,1952,NA,NA,50000,NA,"Дорогие ребята! (Обращение.) — Как пользоваться Детским календарем и как делать игрушки; Мороз-воевода. (Панорама-самоделка.) — Елочные игрушки-самоделки; Как делать книжки-малышки; Мишка-прыгун. (Игрушка-самоделка.) — Корзиночка в подарок бойцу. ■— Фартуки для подарков в день 8 марта. ■— Конь-огонь; Наша столица. (Книжка-ширма на трех листах.) — Хоровод «Березка». (Игрушка-самоделка с движением на четырех листах.) — Бабочка над цветком. (Карнавальная вертушка.) •—Сказки братских республик. (Настольная игра-самоделка.) — Киноигрушка (для просмотра кадров «250-летие Ленинграда») на трех листах; Веселый карнавал. (Настольная игра-картинка.) — Сумочка для мелочей; Как склеить витрину-библиотечку; Цирк. (Настольная игра-самоделка.)—Узнай картинку! (Игра-фокус.) — Пенал; Девочка и грибы. (Книжка-панорама на двух листах.) — Игрушки-самоделки из природного материала; Шагающий экскаватор. (Игрушка-самоделка.) — Гуси-лебеди, домой. (Игрушка-самоделка.) — Табель-календарь на 1954 год; Шлюз. (Игрушка-самоделка.) См. № 511"
1951-1952,1209,NOAUTHOR,NA,О Ленине и Сталине,Сборник для детей,Оформление И. Фоминой.,NA,М.; Л.,Детгиз,1951,NA,48,100000,5.4,"«Сквозь грозы сияло нам солнце свободы...» (Из гимна Советского Союза.) — Н. К-Крупская. Владимир Ильич Ленин; Н. ККрупская. Иосиф Виссарионович Сталин; М. Светлов. Родина («Гордой поступью идет наше      поколенье...») —• Е. Трутнева. Весна; С. Маршак. Ленин; Ю. Яковлев. Ленинской дорогой; Н. Саконская. В гостях у Ленина; Н. Забила. По завету Ильича. Перевод с украинского 3. Александровой; Павло Тычина. Слушаем про Ленина. Перевод с украинского В. Звягинцевой; М. Матусовский. Спасибо Сталину; Василь Витка. Сыну. Перевод с белорусского А. Кленова; Платон Воронько. Письмо Сталину. Перевод с украинского С.   Маршака; М. Познанская. Праздник Октября. Перевод с украинского 3. Александровой; И. Гришашвили. Голос внучки. Перевод с грузинского В. Державина; Гафур Гулям. Новогодняя песня. Перевод с узбекского Т. Стрешневой; С. Михалков. Сталин думает о нас; Н. Забила. За Сталина, за Родину! Перевод с украинского 3. Александровой; Гафур Гулям. Пионеру. Перевод с узбекского С. Сомовой; М. Светлов. Родина. («От большого пути океанской волны величавой...») — С.     Михалков. В Музее В. И. Ленина; А. Сурков. Песня о Сталине"
