vol,num,corr,author,title,subtitle,editorial,series,publisher,contents
1932-1939,2223,nonfic,"Меркульева, К. А.","Фабрика точности",NA,"Рис. и обл. М. Пащенко. Изд. 2-е, исправл. и доп.",NA,"Огиз—Молодая гвардия",NA
1932-1939,3672,fic,"Ульянова-Елизарова, А. И.","Детские и школьные годы Ильича",NA,NA,NA,Детиздат,NA
1918-1931,10781,method,NOAUTHOR,"ЭКСКУРСИЯ НА ЧУГУНОЛИТЕЙНЫЙ И МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД","Обращение станции и методич. пособие  ных групп",NA,"Центр. детск. экскурс. станция при ЦБ ДКО и Центр. опытн. экскурсбаза НКП","Огиз—Молодая гвардия",NA
1918-1931,9175,album,"Тамби, В. А.",Автомобиль,"Картинки с текстом",NA,NA,Гиз,NA
1918-1931,6,method,"Аббе, А.","Самодельные электрические аккумуляторы",NA,"Изд. 2-е","Библиотека журн. «В мастерской природы». Для умелых рук","Научное кн-во",NA
1932-1939,365,fic,"Благинина, Е.; Поступальская, М.","Маленький Мук",NA,NA,"Центр. дом худож. воспитания детей","Акад. пед. наук СССР",NA
1918-1931,8707,fic,"Славко, В.",Радио,NA,"Рис. Агнит.",NA,Культура,NA
1918-1931,7933,method,NOAUTHOR,"РАБОТА ОТРЯДОВ ЮНЫХ ПИОНЕРОВ","Опыт работы отрядив и материалы облоюро ЮП",NA,"Облоюро ЮП при Уралобкоме ВЛКСМ","Акад. пед. наук СССР",NA
1932-1939,1493,method,"Иогансон, О. П.","Зоологическое лото",NA,"Рис. художн. Д. Горлова.",NA,"Красная игрушка",NA
1932-1939,1490,method,NOAUTHOR,"Инструкция к планерам «К-21» и «К-22»",NA,NA,NA,"Акад. пед. наук СССР",NA
1918-1931,3531,nonfic,"Захаров, А.","Невидимые жители земли",NA,"Изд. 2-е","Библиотека юного пионера","Новая Москва",NA
1918-1931,6825,method,"Никольский, В. В.","Какое снаряжение нужно взять с сот бой в зимнюю экскурсию-вылазку",NA,NA,"Центр. детск. экскурс. станция ЦБ ДКО ЦК ВЛКСМ и Центр-опытн. экскурсбаза Главсоцвоса НКП","Акад. пед. наук СССР",NA
1918-1931,1821,method,"Волков, С.","Как отряду и пионеру бороться с вредителями и болезнями сельскохозяйственных растений",NA,NA,NA,"изд. Псковск. окружн. детск. и технич. с.-х. станции при окрпионеркабинете и ЦДЮП",NA
1918-1931,1201а,fic,"Борисоглебский, М. В.",Джангыр-бай,NA,"Изд. 3-е",NA,Гиз,NA
1951-1952,514,fic,NOAUTHOR,Детям,"Альманах. Выпуск второй. Редакторы-составители В. Фраерман и А. Лазо. Иллюстрировали сборник художники В. Алфеев-ский, К. Арцеулов, И. Бруни, В. Бо-гаткин, А. Васин, Б. Винокуров, В. Высоцкий, М. Горшман, В. Ермолов, А. Кокорин, А. Короткий, И. Кузнецов, В. Ладягин, А. Лаптев, Б. Маркевич, В. Минаев, Г. Никольский, Е. Рачев и В. Щеглов","Оформление М. Борисовой-Мусатовой.",NA,Детгиз,"АНДРЕЙ ДУ-ГИНЕЦ. У подножия снежных вершин. (Из повести «Золотая чаша Байтемира».) НИКОЛАИ ГА-МОЛКО. Лето в Калиповке. (Из повести.) МАНИВАЛД KF.CA-МАА. Поют пионеры. ГЕОРГИЙ РУБЛЕВ. Солдаты мира; Баллада о корейском летчике; Улица Сталина в Праге. ВИКТОР ГОНЧАРОВ. Сын грузчика; Дин Лингай. ИРИНА ВОЛК. Мансу Муган! (Из книги «Корея в эти дни».) — Встреча на дороге. АЛЕКСАНДР БАТРОВ. Наш друг Хосе. ОЛЕСЯ КРАВЕЦ. Маленькая батрачка. (Из романа «Белый голубь».) ЛЕОНИД ШКАВРО. Солнечное имя. АЛЕКСАНДР КОЗМЕСКУ. Гора Виноградная. ВЛАДИМИР АЛЕКСЕЕВ. Гудок; Наши улицы; Знамя; Бор. МИХАИЛ СЛУЦКИС. Почтальон. ИГОРЬ ЛАШКОВ. Молодогвардейцы; Сбор пионерский посвящен Москве. ЯКОВ АКИМ. Мальчик со скрипкой; Сталинская гвардия; Высотный дом. АННА КОВУ-СОВ. Караван-баши. ТАМАРА ЛИ-ХОТАЛЬ. Всем отрядом. МАШИ-ДАТ ГАИРБЕКОВА. Мальчики в арбе. АННА ШУР. Награждение Татьяны Константиновны. (Из повести «Я ученик школы рабочей молодежи».) АЛЕКСАНДР СОКОЛОВ. Знамя мира. (Из поэмы.) ЭВАЛД ВИЛКДобровольцы. С. К. РОЗАНОВ. Всадник. НИКОЛАЙ ЧЕБАЕВСКИЙ. Полный вперед! — Садоводы. ВАСИЛИИ ВЕЛИКАНОВ. Разбойник и Мишка. ДАНИИЛ АТНИЛОВ. Первый день. А. ЛАСУРИА. В школе. МАРТИН АЛХАСОВ. Ходи, ходи, мой сыночка! ИВАН МОРЖУЕВ. Друзья природы; Своими руками. САЛАМ КАДЫРЗАДЕ. Диктант. ИВАН СИНЯВСКИЙ. Экспонат. ВАЛЕРИАН НАКОРЯКОВ. Лесная сказка. ЛЯБИБЯ ИХСАНО-ВА. Река Серебрянка. ЦЫДЕН-ЖАП ЖИМБИЕВ. Звезда; Имя героини; Сад. ЮРИЙ БОНДАРЕВ. На острове. АЛЕКСАНДР ШИШОВ. В жаркий день. ЮРИИ ЕФРЕМОВ. Приезжайте в Ярославль; Стихотворение. МИХАИЛ ЛЕСНОЙ. Зайчата; В половодье; Игра в прятки; Лесной домик. ДМИТРИЙ ГОЛОВИН. Первый улов. ГЕОРГИИ ДМИТРИЕВ. Скворец. ИВАН МЕДКОВ. Для юных друзей; Воспоминания детства; В саду. СЕМЕН ЕФИМОВ. День на реке. ВЛАДИМИР КОНОВАЛОВ. Аптека зверей; Пещера крылатых докторов; Содружество птиц и зверей; Сойка. ВИТАЛИИ ГАРНОВСКИИ. Птич-ка-неспокойка; Заяц-охотник; Африкановы заботы; Звериный сад; Черемуховый снег"
1932-1939,1343,method,NOAUTHOR,"За изучение природы нашего края",NA,NA,"Боровичский краеведческий музей. Ко всем учащимся ШКМ","Акад. пед. наук СССР",NA
1918-1931,5151,method,"Кутузов, А. Д.","Изготовление акварельных красок",NA,NA,"«Сам себе мастер». Прикладная наука и техника.","Работник просвещения",NA
